place_id,place_name,type_1,type_2,type_3,price_level,average_rating,user_ratings_total,formatted_address,latitude,longitude,geohash,upper_geohash,distance,duration
ChIJiWv0HLXf4EcRZXheNjUtAX4,monnaies de l'histoire,shopping,store,['jewelry_store'],,4.3,12.0,"31 Quai Cavelier de la Salle, 76100 Rouen, France",49.437319,1.084917,u0bc0x,u0bc0,1.0 km,13 mins
ChIJq-n-bd_d4EcR9rIubGvc4fY,Ibiza Club Rouen,night_life,night_club,['bar'],,3.5,378.0,"29 Bd des Belges, 76000 Rouen, France",49.442626,1.084048,u0bc28,u0bc2,0.9 km,12 mins
ChIJAfEMT2re4EcRSZUqUO5GNuU,Temple Évangélique Du Jardin Des Plantes,cultural,church,['place_of_worship'],,4.3,35.0,"60 Rue de Cauville, 76100 Rouen, France",49.4230075,1.0834225,u0bc0t,u0bc0,2.4 km,30 mins
ChIJPeeduQPf4EcRMhl4hgcDBEc,La maison de l'amitié Floraison,food,cafe,,,5.0,27.0,"36 Rue des Augustins, 76000 Rouen, France",49.4380211,1.0981856,u0bc0z,u0bc0,0.4 km,5 mins
ChIJcz22mm3e4EcR0ZGNstP4fV0,Courir,shopping,store,"['shoe_store', 'clothing_store']",,3.7,114.0,"centre commercial Saint Sever, Av. de Bretagne, 76000 Rouen, France",49.4307432,1.0836965,u0bc0w,u0bc0,1.5 km,19 mins
ChIJt3-1JxLd4EcRL98b0Bo_d7M,Desigual,shopping,store,['clothing_store'],,4.4,5.0,"Snc Les Docks De Rouen, 76000 Rouen, France",49.446,1.065,u0bc21,u0bc2,2.6 km,32 mins
ChIJee1X52De4EcROq1v9J7RV4Q,Bistrot des Abattoirs,food,restaurant,,,4.4,84.0,"35 Rue Henri II Plantagenêt, 76100 Rouen, France",49.4264507,1.0966652,u0bc0v,u0bc0,1.9 km,25 mins
ChIJu95boJTd4EcR4IWga3g7Iik,Paroisse Saint-Jacques Mont-Saint-Aignan,cultural,church,['place_of_worship'],,4.3,23.0,"Rue Saint-Gilles, 76130 Mont-Saint-Aignan, France",49.4637491,1.0763377,u0bc2k,u0bc2,3.4 km,49 mins
ChIJh0kD-tPd4EcRk-LjtmbAVsQ,Rétro Design,shopping,store,['home_goods_store'],,5.0,1.0,"155 Rue Beauvoisine, 76000 Rouen, France",49.4468291,1.0982873,u0bc2c,u0bc2,0.9 km,12 mins
ChIJ5Rvmhm3e4EcRzE0PAre8f3U,LE MANDARIN,food,restaurant,,,3.7,21.0,"Av. de Bretagne, 76100 Rouen, France",49.4311932,1.0835181,u0bc0w,u0bc0,1.5 km,19 mins
ChIJrdLZcUjf4EcRFczASTcJNe4,Centre d'Accueil Universal - Rouen,cultural,church,['place_of_worship'],,4.6,13.0,"26 Rue de la Mare du Parc, 76100 Rouen, France",49.421842,1.0824305,u0bc0s,u0bc0,2.5 km,32 mins
ChIJ6dCyEt_d4EcRdlid_kfADIc,Hamel Thierry Henri Joseph,shopping,store,['jewelry_store'],,4.5,18.0,"1 Rue de le Nostre, 76000 Rouen, France",49.4427843,1.0840494,u0bc28,u0bc2,0.9 km,12 mins
ChIJT6tInBnd4EcRpWNH-SCTegU,Aya House,food,restaurant,,,4.4,145.0,"30 Rue Louis Ricard, 76000 Rouen, France",49.4450605,1.0998832,u0bc31,u0bc3,0.8 km,11 mins
